ID,State,Date,Total_Deaths,New_Deaths
1,Alabama,1/22/2020,0,0
2,Alabama,1/23/2020,0,0
3,Alabama,1/24/2020,0,0
4,Alabama,1/25/2020,0,0
5,Alabama,1/26/2020,0,0
6,Alabama,1/27/2020,0,0
7,Alabama,1/28/2020,0,0
8,Alabama,1/29/2020,0,0
9,Alabama,1/30/2020,0,0
10,Alabama,1/31/2020,0,0
11,Alabama,2/1/2020,0,0
12,Alabama,2/2/2020,0,0
13,Alabama,2/3/2020,0,0
14,Alabama,2/4/2020,0,0
15,Alabama,2/5/2020,0,0
16,Alabama,2/6/2020,0,0
17,Alabama,2/7/2020,0,0
18,Alabama,2/8/2020,0,0
19,Alabama,2/9/2020,0,0
20,Alabama,2/10/2020,0,0
21,Alabama,2/11/2020,0,0
22,Alabama,2/12/2020,0,0
23,Alabama,2/13/2020,0,0
24,Alabama,2/14/2020,0,0
25,Alabama,2/15/2020,0,0
26,Alabama,2/16/2020,0,0
27,Alabama,2/17/2020,0,0
28,Alabama,2/18/2020,0,0
29,Alabama,2/19/2020,0,0
30,Alabama,2/20/2020,0,0
31,Alabama,2/21/2020,0,0
32,Alabama,2/22/2020,0,0
33,Alabama,2/23/2020,0,0
34,Alabama,2/24/2020,0,0
35,Alabama,2/25/2020,0,0
36,Alabama,2/26/2020,0,0
37,Alabama,2/27/2020,1,1
38,Alabama,2/28/2020,1,0
39,Alabama,2/29/2020,1,0
40,Alabama,3/1/2020,1,0
41,Alabama,3/2/2020,1,0
42,Alabama,3/3/2020,1,0
43,Alabama,3/4/2020,1,0
44,Alabama,3/5/2020,1,0
45,Alabama,3/6/2020,1,0
46,Alabama,3/7/2020,1,0
47,Alabama,3/8/2020,1,0
48,Alabama,3/9/2020,1,0
49,Alabama,3/10/2020,1,0
50,Alabama,3/11/2020,1,0
51,Alabama,3/12/2020,1,0
52,Alabama,3/13/2020,1,0
53,Alabama,3/14/2020,1,0
54,Alabama,3/15/2020,2,1
55,Alabama,3/16/2020,2,0
56,Alabama,3/17/2020,3,1
57,Alabama,3/18/2020,3,0
58,Alabama,3/19/2020,4,1
59,Alabama,3/20/2020,4,0
60,Alabama,3/21/2020,4,0
61,Alabama,3/22/2020,4,0
62,Alabama,3/23/2020,5,1
63,Alabama,3/24/2020,6,1
64,Alabama,3/25/2020,10,4
65,Alabama,3/26/2020,12,2
66,Alabama,3/27/2020,22,10
67,Alabama,3/28/2020,27,5
68,Alabama,3/29/2020,32,5
69,Alabama,3/30/2020,41,9
70,Alabama,3/31/2020,49,8
71,Alabama,4/1/2020,56,7
72,Alabama,4/2/2020,59,3
73,Alabama,4/3/2020,67,8
74,Alabama,4/4/2020,71,4
75,Alabama,4/5/2020,84,13
76,Alabama,4/6/2020,95,11
77,Alabama,4/7/2020,108,13
78,Alabama,4/8/2020,118,10
79,Alabama,4/9/2020,129,11
80,Alabama,4/10/2020,141,12
81,Alabama,4/11/2020,150,9
82,Alabama,4/12/2020,160,10
83,Alabama,4/13/2020,168,8
84,Alabama,4/14/2020,180,12
85,Alabama,4/15/2020,192,12
86,Alabama,4/16/2020,203,11
87,Alabama,4/17/2020,221,18
88,Alabama,4/18/2020,238,17
89,Alabama,4/19/2020,247,9
90,Alabama,4/20/2020,255,8
91,Alabama,4/21/2020,264,9
92,Alabama,4/22/2020,282,18
93,Alabama,4/23/2020,294,12
94,Alabama,4/24/2020,308,14
95,Alabama,4/25/2020,321,13
96,Alabama,4/26/2020,336,15
97,Alabama,4/27/2020,348,12
98,Alabama,4/28/2020,360,12
99,Alabama,4/29/2020,371,11
100,Alabama,4/30/2020,385,14
101,Alabama,5/1/2020,403,18
102,Alabama,5/2/2020,415,12
103,Alabama,5/3/2020,435,20
104,Alabama,5/4/2020,454,19
105,Alabama,5/5/2020,479,25
106,Alabama,5/6/2020,490,11
107,Alabama,5/7/2020,499,9
108,Alabama,5/8/2020,518,19
109,Alabama,5/9/2020,534,16
110,Alabama,5/10/2020,545,11
111,Alabama,5/11/2020,560,15
112,Alabama,5/12/2020,574,14
113,Alabama,5/13/2020,591,17
114,Alabama,5/14/2020,613,22
115,Alabama,5/15/2020,626,13
116,Alabama,5/16/2020,635,9
117,Alabama,5/17/2020,647,12
118,Alabama,5/18/2020,664,17
119,Alabama,5/19/2020,680,16
120,Alabama,5/20/2020,700,20
121,Alabama,5/21/2020,715,15
122,Alabama,5/22/2020,727,12
123,Alabama,5/23/2020,733,6
124,Alabama,5/24/2020,751,18
125,Alabama,5/25/2020,762,11
126,Alabama,5/26/2020,780,18
127,Alabama,5/27/2020,800,20
128,Alabama,5/28/2020,819,19
129,Alabama,5/29/2020,840,21
130,Alabama,5/30/2020,855,15
131,Alabama,5/31/2020,865,10
132,Alabama,6/1/2020,881,16
133,Alabama,6/2/2020,902,21
134,Alabama,6/3/2020,918,16
135,Alabama,6/4/2020,930,12
136,Alabama,6/5/2020,944,14
137,Alabama,6/6/2020,957,13
138,Alabama,6/7/2020,974,17
139,Alabama,6/8/2020,989,15
140,Alabama,6/9/2020,1005,16
141,Alabama,6/10/2020,1020,15
142,Alabama,6/11/2020,1039,19
143,Alabama,6/12/2020,1052,13
144,Alabama,6/13/2020,1060,8
145,Alabama,6/14/2020,1074,14
146,Alabama,6/15/2020,1091,17
147,Alabama,6/16/2020,1113,22
148,Alabama,6/17/2020,1120,7
149,Alabama,6/18/2020,1127,7
150,Alabama,6/19/2020,1148,21
151,Alabama,6/20/2020,1168,20
152,Alabama,6/21/2020,1185,17
153,Alabama,6/22/2020,1197,12
154,Alabama,6/23/2020,1218,21
155,Alabama,6/24/2020,1241,23
156,Alabama,6/25/2020,1252,11
157,Alabama,6/26/2020,1265,13
158,Alabama,6/27/2020,1286,21
159,Alabama,6/28/2020,1301,15
160,Alabama,6/29/2020,1319,18
161,Alabama,6/30/2020,1342,23
162,Alabama,7/1/2020,1360,18
163,Alabama,7/2/2020,1386,26
164,Alabama,7/3/2020,1416,30
165,Alabama,7/4/2020,1434,18
166,Alabama,7/5/2020,1453,19
167,Alabama,7/6/2020,1470,17
168,Alabama,7/7/2020,1489,19
169,Alabama,7/8/2020,1519,30
170,Alabama,7/9/2020,1537,18
171,Alabama,7/10/2020,1557,20
172,Alabama,7/11/2020,1576,19
173,Alabama,7/12/2020,1601,25
174,Alabama,7/13/2020,1630,29
175,Alabama,7/14/2020,1664,34
176,Alabama,7/15/2020,1693,29
177,Alabama,7/16/2020,1725,32
178,Alabama,7/17/2020,1749,24
179,Alabama,7/18/2020,1785,36
180,Alabama,7/19/2020,1827,42
181,Alabama,7/20/2020,1856,29
182,Alabama,7/21/2020,1894,38
183,Alabama,7/22/2020,1934,40
184,Alabama,7/23/2020,1971,37
185,Alabama,7/24/2020,2012,41
186,Alabama,7/25/2020,2051,39
187,Alabama,7/26/2020,2093,42
188,Alabama,7/27/2020,2137,44
189,Alabama,7/28/2020,2161,24
190,Alabama,7/29/2020,2200,39
191,Alabama,7/30/2020,2246,46
192,Alabama,7/31/2020,2299,53
193,Alabama,8/1/2020,2344,45
194,Alabama,8/2/2020,2386,42
195,Alabama,8/3/2020,2416,30
196,Alabama,8/4/2020,2463,47
197,Alabama,8/5/2020,2501,38
198,Alabama,8/6/2020,2548,47
199,Alabama,8/7/2020,2595,47
200,Alabama,8/8/2020,2638,43
201,Alabama,8/9/2020,2675,37
202,Alabama,8/10/2020,2718,43
203,Alabama,8/11/2020,2758,40
204,Alabama,8/12/2020,2788,30
205,Alabama,8/13/2020,2823,35
