ID,State,Date,Total_Cases,New_Cases
1,Alabama,1/22/2020,33,33
2,Alabama,1/23/2020,34,1
3,Alabama,1/24/2020,34,0
4,Alabama,1/25/2020,37,3
5,Alabama,1/26/2020,37,0
6,Alabama,1/27/2020,38,1
7,Alabama,1/28/2020,39,1
8,Alabama,1/29/2020,40,1
9,Alabama,1/30/2020,42,2
10,Alabama,1/31/2020,44,2
11,Alabama,2/1/2020,47,3
12,Alabama,2/2/2020,48,1
13,Alabama,2/3/2020,52,4
14,Alabama,2/4/2020,53,1
15,Alabama,2/5/2020,54,1
16,Alabama,2/6/2020,54,0
17,Alabama,2/7/2020,54,0
18,Alabama,2/8/2020,55,1
19,Alabama,2/9/2020,57,2
20,Alabama,2/10/2020,58,1
21,Alabama,2/11/2020,59,1
22,Alabama,2/12/2020,60,1
23,Alabama,2/13/2020,61,1
24,Alabama,2/14/2020,64,3
25,Alabama,2/15/2020,66,2
26,Alabama,2/16/2020,66,0
27,Alabama,2/17/2020,70,4
28,Alabama,2/18/2020,70,0
29,Alabama,2/19/2020,70,0
30,Alabama,2/20/2020,71,1
31,Alabama,2/21/2020,75,4
32,Alabama,2/22/2020,75,0
33,Alabama,2/23/2020,77,2
34,Alabama,2/24/2020,81,4
35,Alabama,2/25/2020,82,1
36,Alabama,2/26/2020,84,2
37,Alabama,2/27/2020,91,7
38,Alabama,2/28/2020,95,4
39,Alabama,2/29/2020,99,4
40,Alabama,3/1/2020,115,16
41,Alabama,3/2/2020,124,9
42,Alabama,3/3/2020,134,10
43,Alabama,3/4/2020,143,9
44,Alabama,3/5/2020,152,9
45,Alabama,3/6/2020,160,8
46,Alabama,3/7/2020,174,14
47,Alabama,3/8/2020,188,14
48,Alabama,3/9/2020,215,27
49,Alabama,3/10/2020,239,24
50,Alabama,3/11/2020,268,29
51,Alabama,3/12/2020,305,37
52,Alabama,3/13/2020,369,64
53,Alabama,3/14/2020,446,77
54,Alabama,3/15/2020,514,68
55,Alabama,3/16/2020,628,114
56,Alabama,3/17/2020,755,127
57,Alabama,3/18/2020,898,143
58,Alabama,3/19/2020,1024,126
59,Alabama,3/20/2020,1183,159
60,Alabama,3/21/2020,1304,121
61,Alabama,3/22/2020,1431,127
62,Alabama,3/23/2020,1655,224
63,Alabama,3/24/2020,1828,173
64,Alabama,3/25/2020,2007,179
65,Alabama,3/26/2020,2187,180
66,Alabama,3/27/2020,2428,241
67,Alabama,3/28/2020,2574,146
68,Alabama,3/29/2020,2709,135
69,Alabama,3/30/2020,2979,270
70,Alabama,3/31/2020,3201,222
71,Alabama,4/1/2020,3405,204
72,Alabama,4/2/2020,3638,233
73,Alabama,4/3/2020,3854,216
74,Alabama,4/4/2020,4000,146
75,Alabama,4/5/2020,4158,158
76,Alabama,4/6/2020,4466,308
77,Alabama,4/7/2020,4718,252
78,Alabama,4/8/2020,4931,213
79,Alabama,4/9/2020,5150,219
80,Alabama,4/10/2020,5337,187
81,Alabama,4/11/2020,5461,124
82,Alabama,4/12/2020,5575,114
83,Alabama,4/13/2020,5841,266
84,Alabama,4/14/2020,6028,187
85,Alabama,4/15/2020,6196,168
86,Alabama,4/16/2020,6415,219
87,Alabama,4/17/2020,6629,214
88,Alabama,4/18/2020,6826,197
89,Alabama,4/19/2020,6952,126
90,Alabama,4/20/2020,7254,302
91,Alabama,4/21/2020,7529,275
92,Alabama,4/22/2020,7784,255
93,Alabama,4/23/2020,7998,214
94,Alabama,4/24/2020,8215,217
95,Alabama,4/25/2020,8432,217
96,Alabama,4/26/2020,8607,175
97,Alabama,4/27/2020,8952,345
98,Alabama,4/28/2020,9272,320
99,Alabama,4/29/2020,9546,274
100,Alabama,4/30/2020,9855,309
101,Alabama,5/1/2020,10211,356
102,Alabama,5/2/2020,10348,137
103,Alabama,5/3/2020,10520,172
104,Alabama,5/4/2020,10854,334
105,Alabama,5/5/2020,11179,325
106,Alabama,5/6/2020,11500,321
107,Alabama,5/7/2020,11793,293
108,Alabama,5/8/2020,12091,298
109,Alabama,5/9/2020,12261,170
110,Alabama,5/10/2020,12497,236
111,Alabama,5/11/2020,12937,440
112,Alabama,5/12/2020,13346,409
113,Alabama,5/13/2020,13785,439
114,Alabama,5/14/2020,14214,429
115,Alabama,5/15/2020,14660,446
116,Alabama,5/16/2020,14955,295
117,Alabama,5/17/2020,15210,255
118,Alabama,5/18/2020,15742,532
119,Alabama,5/19/2020,16268,526
120,Alabama,5/20/2020,16833,565
121,Alabama,5/21/2020,17363,530
122,Alabama,5/22/2020,17776,413
123,Alabama,5/23/2020,18096,320
124,Alabama,5/24/2020,18383,287
125,Alabama,5/25/2020,18749,366
126,Alabama,5/26/2020,19343,594
127,Alabama,5/27/2020,19990,647
128,Alabama,5/28/2020,20506,516
129,Alabama,5/29/2020,21027,521
130,Alabama,5/30/2020,21420,393
131,Alabama,5/31/2020,21778,358
132,Alabama,6/1/2020,22550,772
133,Alabama,6/2/2020,23126,576
134,Alabama,6/3/2020,23740,614
135,Alabama,6/4/2020,24266,526
136,Alabama,6/5/2020,24888,622
137,Alabama,6/6/2020,25296,408
138,Alabama,6/7/2020,25666,370
139,Alabama,6/8/2020,26467,801
140,Alabama,6/9/2020,27196,729
141,Alabama,6/10/2020,28006,810
142,Alabama,6/11/2020,28780,774
143,Alabama,6/12/2020,29490,710
144,Alabama,6/13/2020,29934,444
145,Alabama,6/14/2020,30347,413
146,Alabama,6/15/2020,31319,972
147,Alabama,6/16/2020,32166,847
148,Alabama,6/17/2020,33112,946
149,Alabama,6/18/2020,34005,893
150,Alabama,6/19/2020,34936,931
151,Alabama,6/20/2020,35601,665
